surface,molecule,functional,E_ads_DFT,E_ads_ML,delta_eV,source_commit
Ag110,formate,r2scan,-4.37,-2.33,+2.04,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,formic_acid,pbe,-0.629,-0.48,+0.146,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,formic_acid,pbe_d3,-0.932,-0.48,+0.448,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,formic_acid,r2scan,-1.105,-0.48,+0.621,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,glycerol,pbe,-1.41,-0.96,+0.44,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,glycerol,pbe_d3,-1.94,-0.96,+0.97,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,glycerol,r2scan,-2.54,-0.96,+1.57,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,isopropanol,pbe,-1.31,-0.59,+0.72,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,isopropanol,pbe_d3,-1.74,-0.59,+1.16,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,isopropanol,r2scan,-2.30,-0.59,+1.71,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,methane,pbe,-0.393,-0.46,-0.067,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,methane,pbe_d3,-0.539,-0.46,+0.079,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,methane,r2scan,-0.746,-0.46,+0.286,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,methanol,pbe,-0.625,-0.48,+0.148,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,methanol,pbe_d3,-0.872,-0.48,+0.395,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,methanol,r2scan,-1.068,-0.48,+0.591,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,propane,pbe,-1.07,-0.38,+0.69,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,propane,pbe_d3,-1.47,-0.38,+1.08,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,propane,r2scan,-2.01,-0.38,+1.63,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,propanol,pbe,-1.32,-0.54,+0.77,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,propanol,pbe_d3,-1.73,-0.54,+1.19,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,propanol,r2scan,-2.30,-0.54,+1.75,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,propene,pbe,-1.27,-0.34,+0.93,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,propene,pbe_d3,-1.72,-0.34,+1.38,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,propene,r2scan,-2.28,-0.34,+1.94,11b026e8de754c84d5b784e3036e0063b5e3c391
