cluster,role,surface,molecule,functional,mode,status,E_TOTEN_eV,composition,directory,snapshot_id,source_kind,note
kestrel,complex,Ag100,NO,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NO/singlepoint/beef_vdw,269823f4119f3b236aa01c12b1f371289ac53ba49205e4fd9af498fae2ead74a,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NO/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,NO,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NO/singlepoint/r2scan,091768cab516cb3392cf33a3a4207b87d0ae36fc4c453ead157ea65ea72475fc,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_NO/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,O2,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_O2/singlepoint/PBE,9e577be6bf2d9fa53c9487babcdb9af853b9aae02978456137cb784f40d07a6e,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_O2/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,O2,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_O2/singlepoint/PBE_D3,17c2cf9bc6390c039fdfd53a070cf564da0804699741e7691240252302b88e0c,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_O2/singlepoint/PBE_D3/OUTCAR.gz'
kestrel,complex,Ag100,O2,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_O2/singlepoint/beef_vdw,ffb1ac8a99e99120598d3c91d9a87670266a8eb34c5c45093ea80359be4e7ce5,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_O2/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,O2,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_O2/singlepoint/r2scan,56358465fd06807163b6193760c7f2cb9221208b4d7213caba980104daadbf87,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_O2/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,SO2,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_SO2/singlepoint/PBE,7b4cc4475363f4f7ab60491cb82b0c8877e36a56b8fc82f651e4bb94f2d3dded,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_SO2/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,SO2,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_SO2/singlepoint/PBE_D3,6e6344ab1664240d6c0459949afd39a3143ae2f21fdb351e44da4f7cfbc95269,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_SO2/singlepoint/PBE_D3/OUTCAR.gz'
kestrel,complex,Ag100,SO2,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_SO2/singlepoint/beef_vdw,8829bfc02b73ca52e4f9c84df102abbd2d57037a6c823b6e1a73446ee6dc5111,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_SO2/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,SO2,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_SO2/singlepoint/r2scan,fdd81a0978842a0fc6e15a2421879fcde7bd66112cd75d2358f8be9f5c38c855,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_SO2/singlepoint/r2scan/OUTCAR.gz'
