surface,molecule,functional,status,note,E_ads_SPE,complex_directory,complex_NSW,slab_directory,molecule_directory,E_complex,E_slab_relaxed,E_molecule_relaxed,slab_NSW,molecule_NSW,matching_slab_references,matching_molecule_references,selected
Ag100,formate,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-3.60800063,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formate/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/formate/PBE,-117.5468433,-90.12407184,-23.81477083,1000,500,1,1,true
Ag100,formate,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-3.84787003,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formate/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/formate/PBE_D3,-130.06878844,-102.4003605,-23.82055791,1000,500,1,1,true
Ag100,formate,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-4.65683122,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formate/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/formate/r2scan,-789.95065535,-759.06403021,-26.22979392,1000,500,1,1,true
Ag100,formic_acid,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-0.81340500,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formic_acid/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/formic_acid/PBE,-120.81727119,-90.12407184,-29.87979435,1000,500,1,2,true
Ag100,formic_acid,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-1.02567146,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formic_acid/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/formic_acid/PBE_D3,-133.31962734,-102.4003605,-29.89359538,1000,500,1,2,true
Ag100,formic_acid,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-1.32130440,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formic_acid/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/formic_acid/r2scan,-793.01923621,-759.06403021,-32.6339016,1000,500,1,2,true
Ag100,glycerol,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-1.27622244,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_glycerol/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/glycerol/PBE,-236.56087063,-159.03042104,-76.25422715,1000,500,2,1,true
Ag100,glycerol,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-1.63277398,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_glycerol/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/glycerol/PBE_D3,-258.93810291,-180.89827326,-76.40705567,1000,500,2,1,true
Ag100,glycerol,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-2.27855737,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_glycerol/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/glycerol/r2scan,-1432.24371499,-1348.06638855,-81.89876907,1000,500,2,1,true
Ag100,isopropanol,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-0.77918272,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_isopropanol/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/isopropanol/PBE,-154.43769559,-90.12407184,-63.53444103,1000,500,1,1,true
