surface,molecule,functional,system,site,retry,status,note,E_ads_SPE,complex_directory,complex_NSW,slab_directory,molecule_directory,E_complex,E_slab_relaxed,E_molecule_relaxed,slab_NSW,molecule_NSW,complex_status,poscar_sha256,selected
Cu100,ethane,beef_vdw,C2H6_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.19842233,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Cu100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/completion_runs/site_gapfill_20260914/slab/C2H4_Cu100/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/beef_vdw,-49.00397557,-10.5763226,-38.22923064,1000,500,converged,492cb646a900c92b40a25d14f3742204dc106b9576559c94b2337ad0f1bf4d2e,true
Cu100,ethane,pbe,C2H6_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.00080616,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Cu100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/PBE,-260.26724459,-219.76682164,-40.49961679,1000,500,converged,492cb646a900c92b40a25d14f3742204dc106b9576559c94b2337ad0f1bf4d2e,true
Cu100,ethane,pbe_d3,C2H6_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.2788122,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Cu100/singlepoint/PBE_D3,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE_D3,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/PBE_D3,-281.64541932,-240.84053253,-40.52607459,1000,500,converged,492cb646a900c92b40a25d14f3742204dc106b9576559c94b2337ad0f1bf4d2e,true
Cu100,ethane,r2scan,C2H6_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,0.13053717,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Cu100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/r2scan,-712.44165267,-670.31649401,-42.25569583,1000,500,converged,492cb646a900c92b40a25d14f3742204dc106b9576559c94b2337ad0f1bf4d2e,true
Cu100,ethanol,beef_vdw,CH3CH2OH_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.44842763,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Cu100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/completion_runs/site_gapfill_20260914/slab/C2H4_Cu100/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3CH2OH/beef_vdw,-53.77496571,-10.5763226,-42.75021548,1000,500,converged,b2cb6e1e2da559ea668d8031e0ae7ec5884fd85ea945972925c80ffa39d1033c,true
Cu100,ethanol,pbe,CH3CH2OH_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.2211589,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Cu100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3CH2OH/PBE,-266.86384295,-219.76682164,-46.87586241,1000,500,converged,b2cb6e1e2da559ea668d8031e0ae7ec5884fd85ea945972925c80ffa39d1033c,true
Cu100,ethanol,pbe_d3,CH3CH2OH_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.60584994,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Cu100/singlepoint/PBE_D3,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE_D3,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3CH2OH/PBE_D3,-288.36934675,-240.84053253,-46.92296428,1000,500,converged,b2cb6e1e2da559ea668d8031e0ae7ec5884fd85ea945972925c80ffa39d1033c,true
Cu100,ethanol,r2scan,CH3CH2OH_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.20478178,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Cu100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3CH2OH/r2scan,-720.16086837,-670.31649401,-49.63959258,1000,500,converged,b2cb6e1e2da559ea668d8031e0ae7ec5884fd85ea945972925c80ffa39d1033c,true
Cu100,ethene,beef_vdw,C2H4_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.1582752,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Cu100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/completion_runs/site_gapfill_20260914/slab/C2H4_Cu100/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H4/beef_vdw,-40.31626426,-10.5763226,-29.58166646,1000,500,converged,4efbf25d61574b1095d16f12d882eb1ae3bfafe7fdb9b4c77a17f80e9adcb4e9,true
Cu100,ethene,pbe,C2H4_Cu100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.09267128,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Cu100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Cu100/PBE,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H4/PBE,-251.83013692,-219.76682164,-31.970644,1000,500,converged,4efbf25d61574b1095d16f12d882eb1ae3bfafe7fdb9b4c77a17f80e9adcb4e9,true
