surface,molecule,functional,mode,previous_eV,current_eV,change,current_status
Ag110,formaldehyde,pbe_d3,SPE,-0.733,,withheld_unverified_or_incompatible,potential mismatch
Ag110,formaldehyde,r2scan,relaxed,-0.974,,withheld_unverified_or_incompatible,refs unverified
Ag110,formaldehyde,r2scan,SPE,-0.923,,withheld_unverified_or_incompatible,potential mismatch
Ag110,formaldehyde,beef_vdw,relaxed,-16.822,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,formate,pbe,relaxed,-3.31,,withheld_unverified_or_incompatible,refs unverified
Ag110,formate,pbe,SPE,-3.307,,withheld_unverified_or_incompatible,refs unverified
Ag110,formate,pbe_d3,relaxed,-3.65,,withheld_unverified_or_incompatible,refs unverified
Ag110,formate,pbe_d3,SPE,-3.615,,withheld_unverified_or_incompatible,refs unverified
Ag110,formate,r2scan,relaxed,-4.37,,withheld_unverified_or_incompatible,refs unverified
Ag110,formate,r2scan,SPE,-4.285,,withheld_unverified_or_incompatible,refs unverified
Ag110,formic_acid,pbe,relaxed,-0.629,,withheld_unverified_or_incompatible,refs unverified
Ag110,formic_acid,pbe,SPE,-0.62,,withheld_unverified_or_incompatible,potential mismatch
Ag110,formic_acid,pbe_d3,relaxed,-0.932,,withheld_unverified_or_incompatible,refs unverified
Ag110,formic_acid,pbe_d3,SPE,-0.905,,withheld_unverified_or_incompatible,potential mismatch
Ag110,formic_acid,r2scan,relaxed,-1.105,,withheld_unverified_or_incompatible,refs unverified
Ag110,formic_acid,r2scan,SPE,-1.044,,withheld_unverified_or_incompatible,potential mismatch
Ag110,formic_acid,beef_vdw,relaxed,-16.934,,withheld_unverified_or_incompatible,potential_mismatch
Ag110,glycerol,pbe,relaxed,-1.41,,withheld_unverified_or_incompatible,refs unverified
Ag110,glycerol,pbe,SPE,-0.904,,withheld_unverified_or_incompatible,refs unverified
Ag110,glycerol,pbe_d3,relaxed,-1.94,,withheld_unverified_or_incompatible,refs unverified
Ag110,glycerol,pbe_d3,SPE,-1.452,,withheld_unverified_or_incompatible,refs unverified
Ag110,glycerol,r2scan,relaxed,-2.54,,withheld_unverified_or_incompatible,refs unverified
