name,surface,molecule,n_metal,n_mol,old_energy,old_functional,new_energy,functional,mode,status,complex_snapshot_id
Au100_formic_acid,Au100,formic_acid,64,5,0.065,r2scan,,,,no validated size-matched selection,
Au100_furan,Au100,furan,64,9,0.007,r2scan,,,,no validated size-matched selection,
Au100_furfural,Au100,furfural,64,11,0.027,r2scan,,,,no validated size-matched selection,
Au100_furfuryl_alcohol,Au100,furfuryl_alcohol,64,13,0.543,r2scan,,,,no validated size-matched selection,
Au100_gamma_butyrolactone,Au100,gamma_butyrolactone,64,12,0.697,r2scan,,,,no validated size-matched selection,
Au100_gamma_valerolactone,Au100,gamma_valerolactone,64,15,0.687,r2scan,,,,no validated size-matched selection,
Au100_gluconic_acid,Au100,gluconic_acid,64,25,0.574,r2scan,,,,no validated size-matched selection,
Au100_glutaric_acid,Au100,glutaric_acid,64,17,0.54,r2scan,,,,no validated size-matched selection,
Au100_glycerol,Au100,glycerol,64,14,0.588,r2scan,,,,no validated size-matched selection,
Au100_glycolic_acid,Au100,glycolic_acid,64,9,0.65,r2scan,,,,no validated size-matched selection,
Au100_glyoxal,Au100,glyoxal,64,6,-2.527,beef_vdw,,,,no validated size-matched selection,
Au100_guaiacol,Au100,guaiacol,64,17,0.355,r2scan,,,,no validated size-matched selection,
Au100_heptane,Au100,heptane,64,23,0.283,r2scan,,,,no validated size-matched selection,
Au100_hexanal,Au100,hexanal,64,19,0.51,r2scan,,,,no validated size-matched selection,
Au100_hexane,Au100,hexane,64,20,0.271,r2scan,,,,no validated size-matched selection,
Au100_hydroquinone,Au100,hydroquinone,64,14,-7.159,r2scan,,,,no validated size-matched selection,
Au100_hydroxyacetaldehyde,Au100,hydroxyacetaldehyde,64,8,0.576,r2scan,,,,no validated size-matched selection,
Au100_isobutane,Au100,isobutane,64,14,0.498,r2scan,,,,no validated size-matched selection,
Au100_isobutene,Au100,isobutene,64,12,0.57,r2scan,,,,no validated size-matched selection,
Au100_isoeugenol,Au100,isoeugenol,64,24,0.751,r2scan,,,,no validated size-matched selection,
Au100_isopentane,Au100,isopentane,64,17,0.499,r2scan,,,,no validated size-matched selection,
Au100_isoprene,Au100,isoprene,64,13,0.229,r2scan,,,,no validated size-matched selection,
Au100_isopropanol,Au100,isopropanol,64,12,0.455,r2scan,,,,no validated size-matched selection,
Au100_lactic_acid,Au100,lactic_acid,64,12,0.597,r2scan,,,,no validated size-matched selection,
Au100_levoglucosan,Au100,levoglucosan,64,21,-4.103,r2scan,,,,no validated size-matched selection,
Au100_levulinic_acid,Au100,levulinic_acid,64,16,0.033,pbe_d3,,,,no validated size-matched selection,
Au100_malonic_acid,Au100,malonic_acid,64,11,-0.058,r2scan,,,,no validated size-matched selection,
Au100_methane,Au100,methane,64,5,0.231,r2scan,,,,no validated size-matched selection,
Au100_methanol,Au100,methanol,64,6,0.409,r2scan,,,,no validated size-matched selection,
Au100_methyl_formate,Au100,methyl_formate,64,8,-3.921,beef_vdw,,,,no validated size-matched selection,
Au100_methylcyclopentenolone,Au100,methylcyclopentenolone,64,16,0.51,r2scan,,,,no validated size-matched selection,
Au100_methylethylketone,Au100,methylethylketone,64,13,0.604,r2scan,,,,no validated size-matched selection,
