surface,molecule,functional,ML,SPE,relaxed,residual,relaxation_gap,total,provenance,complex_directory
Ir100,CO,beef_vdw,-2.7,-2.00209591,-2.131,-0.6979040900000002,0.1289040899999998,-0.5690000000000004,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Ir100/singlepoint/beef_vdw
Ir100,CO,pbe,-2.7,-2.15746482,-2.232,-0.5425351800000002,0.07453518000000026,-0.46799999999999997,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Ir100/singlepoint/PBE
Ir100,CO,pbe_d3,-2.7,-2.39443964,-2.488,-0.3055603600000003,0.09356036000000012,-0.2120000000000002,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Ir100/singlepoint/PBE_D3
Ir100,CO2,pbe,-0.37,0.03559969,-0.024,-0.40559969,0.059599690000000004,-0.346,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ir100/singlepoint/PBE
Ir100,DME,beef_vdw,-0.48,-0.61456426,-0.736,0.13456426,0.12143574000000001,0.256,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ir100/singlepoint/beef_vdw
Ir100,DME,pbe,-0.48,-0.30723141,-0.359,-0.17276859,0.05176859,-0.121,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ir100/singlepoint/PBE
Ir100,DME,pbe_d3,-0.48,-0.83829914,-0.915,0.35829914000000007,0.07670085999999998,0.43500000000000005,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ir100/singlepoint/PBE_D3
Ir100,H2O,beef_vdw,-0.86,-0.37824473,-0.542,-0.48175527,0.16375527000000006,-0.31799999999999995,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Ir100/singlepoint/beef_vdw
Ir100,H2O,pbe,-0.86,-0.41349575,-0.488,-0.44650425,0.07450425,-0.372,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Ir100/singlepoint/PBE
Ir100,H2O,pbe_d3,-0.86,-0.61948326,-0.706,-0.24051674,0.08651673999999998,-0.15400000000000003,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Ir100/singlepoint/PBE_D3
Ir100,H2S,beef_vdw,-2.86,-2.45910654,-2.591,-0.4008934599999998,0.13189346000000013,-0.2689999999999997,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Ir100/singlepoint/beef_vdw
Ir100,H2S,pbe,-2.86,-2.52847488,-2.603,-0.3315251199999998,0.07452512000000011,-0.2569999999999997,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Ir100/singlepoint/PBE
Ir100,H2S,pbe_d3,-2.86,-2.99609815,-3.086,0.13609815000000003,0.08990184999999995,0.22599999999999998,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Ir100/singlepoint/PBE_D3
Ir100,acetaldehyde,beef_vdw,-0.74,-0.64106409,-0.77,-0.09893591000000002,0.12893591000000004,0.030000000000000027,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Ir100/singlepoint/beef_vdw
Ir100,acetaldehyde,pbe,-0.74,-0.51450519,-0.586,-0.22549481000000005,0.07149481000000002,-0.15400000000000003,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Ir100/singlepoint/PBE
Ir100,acetaldehyde,pbe_d3,-0.74,-0.86488452,-0.946,0.12488452000000005,0.0811154799999999,0.20599999999999996,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Ir100/singlepoint/PBE_D3
Ir100,acetic_acid,beef_vdw,-1.04,-0.65166612,-0.902,-0.38833388,0.25033388,-0.138,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3COOH_Ir100/singlepoint/beef_vdw
Ir100,ethane,beef_vdw,-0.45,-0.17989859,-0.313,-0.27010141,0.13310141,-0.137,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ir100/singlepoint/beef_vdw
Ir100,ethane,pbe,-0.45,0.07815157,-0.003,-0.52815157,0.08115157,-0.447,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ir100/singlepoint/PBE
Ir100,ethane,pbe_d3,-0.45,-0.30913907,-0.383,-0.14086093,0.07386092999999999,-0.067,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ir100/singlepoint/PBE_D3
Ir100,ethanol,beef_vdw,-0.79,-0.67214811,-0.828,-0.11785189000000007,0.15585189,0.03799999999999992,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ir100/singlepoint/beef_vdw
Ir100,ethanol,pbe,-0.79,-0.45563868,-0.533,-0.33436132,0.07736132000000001,-0.257,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ir100/singlepoint/PBE
Ir100,ethanol,pbe_d3,-0.79,-0.95032646,-1.031,0.16032645999999995,0.08067353999999993,0.24099999999999988,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ir100/singlepoint/PBE_D3
Ir100,ethene,beef_vdw,-2.16,-1.12376583,-1.381,-1.0362341700000002,0.25723417000000004,-0.7790000000000001,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ir100/singlepoint/beef_vdw
Ir100,ethene,pbe,-2.16,-1.27408169,-1.407,-0.8859183100000001,0.13291830999999998,-0.7530000000000001,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ir100/singlepoint/PBE
Ir100,ethene,pbe_d3,-2.16,-1.77991331,-1.937,-0.38008669000000017,0.15708669000000008,-0.2230000000000001,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ir100/singlepoint/PBE_D3
Ir100,formaldehyde,pbe,-1.75,-1.20864388,-1.32,-0.5413561200000001,0.11135612000000017,-0.42999999999999994,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2CO_Ir100/singlepoint/PBE
Ir100,formaldehyde,pbe_d3,-1.75,-1.5390001,-1.657,-0.21099990000000002,0.11799990000000005,-0.09299999999999997,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2CO_Ir100/singlepoint/PBE_D3
Ir100,methane,beef_vdw,-0.6,-0.04043284,-0.204,-0.55956716,0.16356716,-0.396,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Ir100/singlepoint/beef_vdw
Ir100,methane,pbe,-0.6,0.12309211,-0.0,-0.72309211,0.12309211,-0.6,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Ir100/singlepoint/PBE
Ir100,methane,pbe_d3,-0.6,-0.12608391,-0.2,-0.47391609,0.07391609000000002,-0.39999999999999997,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Ir100/singlepoint/PBE_D3
Ir100,methanol,beef_vdw,-0.77,-0.59489061,-0.746,-0.17510939000000003,0.15110939,-0.02400000000000002,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Ir100/singlepoint/beef_vdw
Ir100,methanol,pbe,-0.77,-0.46603831,-0.535,-0.30396169,0.06896169000000002,-0.235,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Ir100/singlepoint/PBE
Ir100,methanol,pbe_d3,-0.77,-0.83610527,-0.912,0.06610527,0.07589473000000002,0.14200000000000002,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Ir100/singlepoint/PBE_D3
Ir110,CH3,beef_vdw,-2.93,-2.35102682,-2.43,-0.5789731800000002,0.0789731800000002,-0.5,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ir110/singlepoint/beef_vdw
Ir110,CH3,pbe,-2.93,-2.28394882,-2.378,-0.6460511800000002,0.09405118000000012,-0.552,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ir110/singlepoint/PBE
Ir110,CH3,pbe_d3,-2.93,-2.50487477,-2.625,-0.42512523000000035,0.1201252300000002,-0.30500000000000016,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ir110/singlepoint/PBE_D3
Ir110,CH3,r2scan,-2.93,-2.18059187,-2.274,-0.74940813,0.09340812999999981,-0.6560000000000001,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ir110/singlepoint/r2scan
Ir110,CO,beef_vdw,-2.77,-2.0493515,-2.209,-0.7206484999999998,0.15964849999999986,-0.5609999999999999,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Ir110/singlepoint/beef_vdw
Ir110,CO,pbe,-2.77,-2.15307618,-2.322,-0.6169238200000002,0.16892382000000028,-0.44799999999999995,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Ir110/singlepoint/PBE
Ir110,CO,pbe_d3,-2.77,-2.35561234,-2.532,-0.41438766000000005,0.17638766000000006,-0.238,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Ir110/singlepoint/PBE_D3
Ir110,CO2,beef_vdw,-0.43,-0.26628873,-0.307,-0.16371127000000002,0.04071127000000002,-0.123,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ir110/singlepoint/beef_vdw
Ir110,CO2,pbe,-0.43,0.01425373,-0.041,-0.44425373,0.05525373,-0.389,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ir110/singlepoint/PBE
Ir110,CO2,r2scan,-0.43,-0.05939664,-0.12,-0.37060336,0.060603359999999995,-0.31,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ir110/singlepoint/r2scan
Ir110,DME,beef_vdw,-0.64,-0.89116866,-0.952,0.25116865999999993,0.06083134000000001,0.31199999999999994,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ir110/singlepoint/beef_vdw
Ir110,DME,pbe,-0.64,-0.49595715,-0.555,-0.14404285,0.059042850000000036,-0.08499999999999996,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ir110/singlepoint/PBE
Ir110,DME,pbe_d3,-0.64,-1.01034103,-1.124,0.37034102999999996,0.11365897000000014,0.4840000000000001,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ir110/singlepoint/PBE_D3
Ir110,DME,r2scan,-0.64,-0.69526785,-0.751,0.05526785000000001,0.05573214999999998,0.11099999999999999,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ir110/singlepoint/r2scan
Ir110,H2O,beef_vdw,-1.01,-0.59914013,-0.686,-0.41085987,0.08685987000000006,-0.32399999999999995,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Ir110/singlepoint/beef_vdw
