surface,molecule,functional,mode,old_E_ads,new_E_ads,reason
Ag110,CO2,beef_vdw,SPE,,-16.69013584,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag110,DME,pbe,relaxed,,-0.55393021,Perlmutter first
Ag110,DME,pbe,SPE,,-0.54294323,Perlmutter first
Ag110,DME,pbe_d3,relaxed,,-0.88493337,Perlmutter first
Ag110,DME,pbe_d3,SPE,,-0.83724539,Perlmutter first
Ag110,DME,r2scan,SPE,-0.837,-0.94755321,Perlmutter first
Ag110,H2,beef_vdw,SPE,,-16.41982528,Kestrel: no usable Perlmutter binding-energy candidate
Ag110,H2O,beef_vdw,SPE,,-16.76922237,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag110,H2S,beef_vdw,SPE,,-16.79254942,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag110,N2,beef_vdw,SPE,,-16.52603686,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag110,NH3,beef_vdw,SPE,,-16.94875274,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag110,NO,pbe_d3,SPE,-1.446,-1.44545597,Perlmutter first
Ag110,NO,beef_vdw,SPE,,-23.97313430,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag110,SO2,beef_vdw,SPE,,-17.16170797,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag110,acetaldehyde,pbe_d3,SPE,-0.742,-0.74148058,Perlmutter first
Ag110,ethane,pbe,SPE,-0.411,-0.41155302,Perlmutter first
Ag110,ethanol,r2scan,SPE,-0.240,-0.23548651,Perlmutter first
Ag110,ethene,pbe,SPE,-0.142,-0.53215774,Perlmutter first
Ag110,ethene,pbe_d3,SPE,-0.411,-0.82622978,Perlmutter first
Ag110,ethene,r2scan,SPE,-0.179,-0.94322024,Perlmutter first
Ag110,ethene,beef_vdw,SPE,-0.156,-16.70998148,Perlmutter energy review retained; Kestrel structure equivalence unverified
Ag110,formaldehyde,r2scan,SPE,-0.923,-0.92350837,Perlmutter first
Ag110,formaldehyde,beef_vdw,SPE,,-16.72114906,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag110,formate,beef_vdw,SPE,,-19.63572018,Kestrel: no usable Perlmutter binding-energy candidate
Ag110,formic_acid,beef_vdw,SPE,,-16.86777236,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag110,propane,beef_vdw,SPE,,-16.73337042,Kestrel: no usable Perlmutter binding-energy candidate
Ag110,propene,beef_vdw,SPE,,-16.83983272,Kestrel: no usable Perlmutter binding-energy candidate
Ag111,CO2,pbe,relaxed,-1.235,-0.02110863,Perlmutter first
Ag111,CO2,r2scan,SPE,-0.008,-0.00911469,Perlmutter first
Ag111,CO2,beef_vdw,relaxed,-44.479,-0.23810702,Perlmutter first
