name,surface,molecule,category,min_dist,pair,pair_labels,min_dist_heavy,pair_heavy,n_metal,n_mol,mol_elems,png
Ag111_aniline,Ag111,aniline,borderline,3.431,Ag-H,Ag28...H1,3.774,Ag-N,36,14,CHN,Ag111_aniline.png
Ag111_benzaldehyde,Ag111,benzaldehyde,reasonable,2.885,Ag-O,Ag33...O1,2.885,Ag-O,36,14,CHO,Ag111_benzaldehyde.png
Ag111_benzene,Ag111,benzene,borderline,3.411,Ag-H,Ag33...H4,3.8,Ag-C,36,12,CH,Ag111_benzene.png
Ag111_butadiene,Ag111,butadiene,reasonable,2.943,Ag-C,Ag34...C4,2.943,Ag-C,36,10,CH,Ag111_butadiene.png
Ag111_butanal,Ag111,butanal,reasonable,2.792,Ag-O,Ag36...O1,2.792,Ag-O,36,13,CHO,Ag111_butanal.png
Ag111_butane,Ag111,butane,borderline,3.084,Ag-H,Ag35...H9,4.06,Ag-C,36,14,CH,Ag111_butane.png
Ag111_butyric_acid,Ag111,butyric_acid,reasonable,2.545,Ag-O,Ag35...O1,2.545,Ag-O,36,14,CHO,Ag111_butyric_acid.png
Ag111_caproic_acid,Ag111,caproic_acid,detached,3.709,Ag-O,Ag32...O1,3.709,Ag-O,36,20,CHO,Ag111_caproic_acid.png
Ag111_carbonate,Ag111,carbonate,reasonable,2.194,Ag-O,Ag32...O2,2.194,Ag-O,36,4,CO,Ag111_carbonate.png
Ag111_citric_acid,Ag111,citric_acid,borderline,3.104,Ag-O,Ag31...O7,3.104,Ag-O,36,21,CHO,Ag111_citric_acid.png
Ag111_cyclobutanone,Ag111,cyclobutanone,borderline,3.387,Ag-O,Ag34...O1,3.387,Ag-O,36,11,CHO,Ag111_cyclobutanone.png
Ag111_cyclohexanone,Ag111,cyclohexanone,reasonable,2.688,Ag-O,Ag31...O1,2.688,Ag-O,36,17,CHO,Ag111_cyclohexanone.png
Ag111_cyclopentanone,Ag111,cyclopentanone,reasonable,2.738,Ag-O,Ag29...O1,2.738,Ag-O,36,14,CHO,Ag111_cyclopentanone.png
Ag111_diethyl_ether,Ag111,diethyl_ether,detached,3.611,Ag-H,Ag32...H9,4.196,Ag-C,36,15,CHO,Ag111_diethyl_ether.png
Ag111_dimethyl_succinate,Ag111,dimethyl_succinate,borderline,3.085,Ag-O,Ag29...O3,3.085,Ag-O,36,17,CHO,Ag111_dimethyl_succinate.png
Ag111_ethane,Ag111,ethane,borderline,3.128,Ag-H,Ag54...H1,3.983,Ag-C,64,8,CH,Ag111_ethane.png
Ag111_ethanol,Ag111,ethanol,reasonable,2.827,Ag-O,Ag54...O1,2.827,Ag-O,64,9,CHO,Ag111_ethanol.png
Ag111_ethene,Ag111,ethene,detached,3.607,Ag-C,Ag59...C1,3.607,Ag-C,64,6,CH,Ag111_ethene.png
Ag111_ethyl_acetate,Ag111,ethyl_acetate,borderline,3.224,Ag-O,Ag34...O2,3.224,Ag-O,36,14,CHO,Ag111_ethyl_acetate.png
Ag111_ethylene,Ag111,ethylene,detached,3.674,Ag-C,Ag31...C2,3.674,Ag-C,36,6,CH,Ag111_ethylene.png
Ag111_ethylene_glycol,Ag111,ethylene_glycol,borderline,3.049,Ag-H,Ag35...H6,3.123,Ag-O,36,10,CHO,Ag111_ethylene_glycol.png
Ag111_eugenol,Ag111,eugenol,borderline,3.185,Ag-H,Ag29...H8,3.199,Ag-O,36,24,CHO,Ag111_eugenol.png
Ag111_formaldehyde,Ag111,formaldehyde,borderline,3.131,Ag-O,Ag32...O1,3.131,Ag-O,36,4,CHO,Ag111_formaldehyde.png
