surface,molecule,functional,E_ads_ML,E_ads_relaxed,E_ads_SPE,relaxed_status,SPE_status,completion_job_directory,relaxed_energy_review,SPE_energy_review,dft_contact_available,required_CONTCAR
Ag100,methane,pbe_d3,-0.42,,,refs unverified,potential mismatch,,False,False,True,
Ag100,methane,r2scan,-0.42,,,refs unverified,potential mismatch,,False,False,True,
Ag100,methane,beef_vdw,-0.42,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,methanol,pbe,-0.4,,,refs unverified,potential mismatch,,False,False,True,
Ag100,methanol,pbe_d3,-0.4,,,refs unverified,potential mismatch,,False,False,True,
Ag100,methanol,r2scan,-0.4,,,refs unverified,potential mismatch,,False,False,True,
Ag100,methanol,beef_vdw,-0.4,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,propane,pbe,-0.31,,,refs unverified,refs unverified,,False,False,True,
Ag100,propane,pbe_d3,-0.31,,,refs unverified,refs unverified,,False,False,True,
Ag100,propane,r2scan,-0.31,,,refs unverified,refs unverified,,False,False,True,
Ag100,propane,beef_vdw,-0.31,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,True,
Ag100,propanol,pbe,-0.47,,,refs unverified,refs unverified,,False,False,True,
Ag100,propanol,pbe_d3,-0.47,,,refs unverified,refs unverified,,False,False,True,
Ag100,propanol,r2scan,-0.47,,,refs unverified,refs unverified,,False,False,True,
Ag100,propanol,beef_vdw,-0.47,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,True,
Ag100,propene,pbe,-0.21,,,refs unverified,refs unverified,,False,False,True,
Ag100,propene,pbe_d3,-0.21,,,refs unverified,refs unverified,,False,False,True,
Ag100,propene,r2scan,-0.21,,,refs unverified,refs unverified,,False,False,True,
Ag100,propene,beef_vdw,-0.21,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,True,
Ag110,CH3,pbe,-1.77,,,refs unverified,potential mismatch,,False,False,True,
Ag110,CH3,pbe_d3,-1.77,,,refs unverified,potential mismatch,,False,False,True,
Ag110,CH3,r2scan,-1.77,,,refs unverified,potential mismatch,,False,False,True,
Ag110,CH3,beef_vdw,-1.77,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,CO,pbe,-0.57,,,refs unverified,potential mismatch,,False,False,True,
Ag110,CO,pbe_d3,-0.57,,,refs unverified,potential mismatch,,False,False,True,
Ag110,CO,r2scan,-0.57,,,refs unverified,potential mismatch,,False,False,True,
Ag110,CO,beef_vdw,-0.57,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,CO2,pbe,-0.39,,,refs unverified,potential mismatch,,False,False,True,
Ag110,CO2,pbe_d3,-0.39,,,potential_mismatch,reference_unavailable,,False,False,True,
Ag110,CO2,r2scan,-0.39,,,refs unverified,potential mismatch,,False,False,True,
Ag110,CO2,beef_vdw,-0.39,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,DME,pbe,-0.31,,,potential_mismatch,potential mismatch,/pscratch/sd/j/jcho5/VASP/completion_runs/dme_references_davidson_20260915/molecule/DME/PBE,False,False,True,
Ag110,DME,pbe_d3,-0.31,,,potential_mismatch,potential mismatch,/pscratch/sd/j/jcho5/VASP/completion_runs/dme_references_davidson_20260915/molecule/DME/PBE_D3,False,False,True,
Ag110,DME,r2scan,-0.31,,,refs unverified,potential mismatch,,False,False,True,
Ag110,DME,beef_vdw,-0.31,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,H2,pbe,-0.27,,,refs unverified,refs unverified,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag110_H2/singlepoint/PBE/fully_relaxed/CONTCAR
Ag110,H2,pbe_d3,-0.27,,,refs unverified,refs unverified,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag110_H2/singlepoint/PBE/fully_relaxed/CONTCAR
