surface,molecule,functional,mode,E_ads_perlmutter,E_ads_kestrel,complex_total_difference_eV,perlmutter_directory,kestrel_directory,same_structure,geometry_evidence,selection_reason
Ag111,NH3,pbe,SPE,-0.24937706,-0.24937759,5.3E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/NH3_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NH3/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,NH3,pbe_d3,SPE,-0.29839885,-0.29839937,5.2E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/NH3_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NH3/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,NH3,r2scan,SPE,-0.22614704,-0.22612099,-0.00002605,/pscratch/sd/j/jcho5/VASP/dft_jobs/NH3_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NH3/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag111,NH3,beef_vdw,SPE,-0.41673043,-0.41673003,-4.0E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/NH3_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NH3/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag111,NO,pbe,SPE,-0.49493075,-0.49492653,-0.00000422,/pscratch/sd/j/jcho5/VASP/dft_jobs/NO_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NO/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,NO,pbe_d3,SPE,-0.56797797,-0.56797375,-0.00000422,/pscratch/sd/j/jcho5/VASP/dft_jobs/NO_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NO/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,NO,beef_vdw,SPE,-7.28443019,-7.28443109,9.0E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/NO_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_NO/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter energy review retained; no unflagged Kestrel alternative
Ag111,SO2,pbe,SPE,-0.00361000,-0.00361110,0.00000110,/pscratch/sd/j/jcho5/VASP/dft_jobs/SO2_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_SO2/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,SO2,pbe_d3,SPE,-0.27178303,-0.27178413,0.00000110,/pscratch/sd/j/jcho5/VASP/dft_jobs/SO2_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_SO2/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,SO2,beef_vdw,SPE,-0.36310415,-0.36311018,0.00000603,/pscratch/sd/j/jcho5/VASP/dft_jobs/SO2_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag111_SO2/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag111,acetaldehyde,pbe,SPE,0.01554086,0.01554083,3E-8,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetaldehyde/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,acetaldehyde,pbe_d3,SPE,-0.07227384,-0.07227387,3E-8,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetaldehyde/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,acetaldehyde,r2scan,SPE,0.04165413,0.04165769,-0.00000356,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetaldehyde/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag111,acetaldehyde,beef_vdw,SPE,-0.28075407,-0.28074917,-0.00000490,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetaldehyde/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag111,acetic_acid,r2scan,SPE,-0.10731258,-0.10728847,-0.00002411,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3COOH_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetic_acid/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
