surface,molecule,functional,E_ads_DFT_SP,E_ads_ML_SP,delta_SP,ML_minus_SPE_minus_relaxed_DFT,E_ads_ML_relaxed_displayed,E_ads_DFT_relaxed_displayed,provenance,complex_directory
Ag110,NH3,pbe,-0.82717215,-0.81,0.01717215,0.84817215,-0.81,-0.831,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_NH3/singlepoint/PBE
Ag110,NH3,pbe_d3,-0.99863707,-0.81,0.18863707,1.20363707,-0.81,-1.015,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_NH3/singlepoint/PBE_D3
Ag110,NH3,r2scan,-1.20185371,-0.81,0.39185371,1.63185371,-0.81,-1.240,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_NH3/singlepoint/r2scan
Ag110,NO,pbe,-1.22027753,-0.81,0.41027753,1.75427753,-0.81,-1.344,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_NO/singlepoint/PBE
Ag110,NO,pbe_d3,-1.44597951,-0.81,0.63597951,2.14197951,-0.81,-1.506,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_NO/singlepoint/PBE_D3
Ag110,SO2,pbe,-0.92398209,-0.68,0.24398209,1.19198209,-0.68,-0.948,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_SO2/singlepoint/PBE
Ag110,SO2,pbe_d3,-1.38630873,-0.68,0.70630873,2.16530873,-0.68,-1.459,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_SO2/singlepoint/PBE_D3
Ag110,SO2,r2scan,-1.59943125,-0.68,0.91943125,2.64243125,-0.68,-1.723,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag110_SO2/singlepoint/r2scan
Ag110,acetaldehyde,pbe,-0.47597273,-0.59,-0.11402727,0.39697273,-0.59,-0.511,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_acetaldehyde/singlepoint/PBE
Ag110,acetaldehyde,pbe_d3,-0.74167078,-0.59,0.15167078,0.93667078,-0.59,-0.785,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_acetaldehyde/singlepoint/PBE_D3
Ag110,acetaldehyde,r2scan,-0.89961086,-0.59,0.30961086,1.26561086,-0.59,-0.956,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_acetaldehyde/singlepoint/r2scan
Ag110,acetic_acid,r2scan,-1.08320116,-0.68,0.40320116,1.52920116,-0.68,-1.126,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_acetic_acid/singlepoint/r2scan
Ag110,ethane,pbe,-0.41146521,-0.38,0.03146521,0.44546521,-0.38,-0.414,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_ethane/singlepoint/PBE
Ag110,ethane,pbe_d3,-0.59929504,-0.38,0.21929504,0.82229504,-0.38,-0.603,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_ethane/singlepoint/PBE_D3
