surface,molecule,functional,system,E_ads_DFT,E_ads_ML,delta_eV
Ag100,formic_acid,pbe_d3,HCOOH_Ag100,-1.1452250400000068,-0.401838,0.7433870400000069
Ag100,methane,pbe,CH4_Ag100,-0.6362077199999945,-0.417955,0.21825271999999446
Ag100,methane,pbe_d3,CH4_Ag100,-0.800876419999998,-0.417955,0.382921419999998
Ag100,methane,r2scan,CH4_Ag100,-1.1490390399999164,-0.417955,0.7310840399999163
Ag100,methanol,pbe,CH3OH_Ag100,-0.7892960500000008,-0.401287,0.3880090500000008
Ag100,methanol,pbe_d3,CH3OH_Ag100,-1.0758554400000016,-0.401287,0.6745684400000016
Ag110,CH3,pbe,CH3_Ag110,-1.594604069999999,-1.77462,-0.18001593000000105
Ag110,CH3,pbe_d3,CH3_Ag110,-1.7924921400000002,-1.77462,0.017872140000000147
Ag110,CH3,r2scan,CH3_Ag110,-1.860779580000031,-1.77462,0.08615958000003099
Ag110,CO,pbe,CO_Ag110,-0.7545260600000017,-0.567539,0.18698706000000165
Ag110,CO,pbe_d3,CO_Ag110,-0.9435005999999948,-0.567539,0.3759615999999948
Ag110,CO,r2scan,CO_Ag110,-1.1430732199999412,-0.567539,0.5755342199999411
Ag110,CO2,pbe,CO2_Ag110,-0.4243191599999996,-0.392284,0.03203515999999956
Ag110,CO2,r2scan,CO2_Ag110,-0.8016318699999765,-0.392284,0.40934786999997647
Ag110,DME,r2scan,CH3OCH3_Ag110,-1.0183908199999436,-0.31028,0.7081108199999436
Ag110,H2O,pbe,H2O_Ag110,-0.6492774100000069,-0.583969,0.06530841000000698
Ag110,H2O,pbe_d3,H2O_Ag110,-0.8316061600000051,-0.583969,0.24763716000000513
Ag110,H2O,r2scan,H2O_Ag110,-1.070380239999956,-0.583969,0.48641123999995606
Ag110,H2S,pbe,H2S_Ag110,-0.6286301400000074,-0.503373,0.12525714000000743
Ag110,H2S,pbe_d3,H2S_Ag110,-0.9629119400000015,-0.503373,0.4595389400000015
Ag110,H2S,r2scan,H2S_Ag110,-1.0520605200000368,-0.503373,0.5486875200000368
Ag110,N2,pbe,N2_Ag110,-0.39575568999999433,-0.051291,0.34446468999999436
Ag110,N2,pbe_d3,N2_Ag110,-0.4549131999999929,-0.051291,0.40362219999999294
Ag110,N2,r2scan,N2_Ag110,-0.7037593199999677,-0.051291,0.6524683199999677
Ag110,NH3,pbe,NH3_Ag110,-0.8307769999999977,-0.807743,0.023033999999997667
Ag110,NH3,pbe_d3,NH3_Ag110,-1.0153948600000042,-0.807743,0.20765186000000424
Ag110,NH3,r2scan,NH3_Ag110,-1.2401008099999942,-0.807743,0.4323578099999942
Ag110,NO,pbe,NO_Ag110,-1.34352859,-0.813234,0.53029459
Ag110,NO,pbe_d3,NO_Ag110,-1.505857989999999,-0.813234,0.6926239899999991
Ag110,SO2,pbe,SO2_Ag110,-0.9479901200000072,-0.681448,0.2665421200000071
Ag110,SO2,pbe_d3,SO2_Ag110,-1.4591043299999988,-0.681448,0.7776563299999988
Ag110,SO2,r2scan,SO2_Ag110,-1.7227969999999893,-0.681448,1.0413489999999892
Ag110,acetaldehyde,pbe,CH3CHO_Ag110,-0.5111867000000032,-0.588154,-0.07696729999999674
Ag110,acetaldehyde,pbe_d3,CH3CHO_Ag110,-0.7847937600000066,-0.588154,0.1966397600000066
